"from","to","weight"
"lorem","ipsum",3
"ipsum","is",1
"ipsum","has",1
"ipsum","passages",1
"is","simply",1
"simply","dummy",1
"dummy","text",2
"text","of",1
"text","ever",1
"of","lorem",1
"of","the",1
"of","type",1
"of","letraset",1
"the","printing",1
"the","industry's",1
"the","1500s",1
"the","leap",1
"the","1960s",1
"the","release",1
"printing","and",1
"and","scrambled",1
"and","typesetting",1
"and","more",1
"has","been",1
"has","survived",1
"been","the",1
"industry's","standard",1
"standard","dummy",1
"ever","since",1
"since","the",1
"1500s","when",1
"when","an",1
"an","unknown",1
"unknown","printer",1
"printer","took",1
"took","a",1
"a","galley",1
"a","type",1
"galley","of",1
"type","and",1
"type","specimen",1
"scrambled","it",1
"it","has",1
"it","to",1
"it","was",1
"to","make",1
"make","a",1
"survived","not",1
"not","only",1
"only","five",1
"five","centuries",1
"centuries","but",1
"but","also",1
"also","the",1
"leap","into",1
"into","electronic",1
"electronic","typesetting",1
"typesetting","remaining",1
"remaining","essentially",1
"was","popularised",1
"popularised","in",1
"in","the",1
"1960s","with",1
"with","the",1
"with","desktop",1
"release","of",1
"letraset","sheets",1
"sheets","containing",1
"containing","lorem",1
"passages","and",1
"more","recently",1
"recently","with",1
"desktop","publishing",1
"publishing","software",1
"software","like",1
"like","aldus",1
"aldus","pagemaker",1
"pagemaker","including",1
"including","versions",1
"versions","of",1
